,Date,Open,High,Low,Close,Adj Close,Volume,Typical_Price,lrets,Mkt-RF,SMB,HML,RF,ADS_INDEX_020323
0,2018-01-02,131.0,132.35000610351562,130.13999938964844,131.72999572753906,131.72999572753906,1282700,131.40666707356772,,0.85,0.35,-0.21,0.006,-0.279358
1,2018-01-03,132.0,133.25,131.74000549316406,132.91000366210938,132.91000366210938,1580900,132.63333638509116,0.8917894178277486,0.59,-0.39,-0.19,0.006,-0.298899
2,2018-01-04,133.8800048828125,135.08999633789062,133.77999877929688,133.85000610351562,133.85000610351562,1361900,134.24000040690103,0.7047580579485846,0.42,-0.26,0.25,0.006,-0.316305
3,2018-01-05,134.9499969482422,135.1300048828125,133.89999389648438,135.00999450683594,135.00999450683594,1183000,134.67999776204428,0.8628993516034633,0.66,-0.35,-0.25,0.006,-0.331583
4,2018-01-08,135.0500030517578,136.08999633789062,134.8699951171875,135.3000030517578,135.3000030517578,1337200,135.4199981689453,0.21457486501690326,0.19,-0.15,0.04,0.006,-0.366127
5,2018-01-09,135.64999389648438,136.39999389648438,134.6199951171875,135.4499969482422,135.4499969482422,1305800,135.48999532063803,0.1107988268359783,0.15,-0.35,-0.04,0.006,-0.375811
6,2018-01-10,134.9600067138672,136.41000366210938,134.36000061035156,136.22999572753906,136.22999572753906,1903700,135.66666666666666,0.5742056415261487,-0.07,0.06,0.56,0.006,-0.384823
7,2018-01-11,136.58999633789062,137.77999877929688,136.24000549316406,137.5800018310547,137.5800018310547,1515700,137.20000203450522,0.9860976991031833,0.87,1.14,0.3,0.006,-0.393168
8,2018-01-12,137.63999938964844,139.05999755859375,137.0800018310547,138.19000244140625,138.19000244140625,1199700,138.11000061035156,0.442398807553257,0.66,-0.32,0.16,0.006,-0.400848
9,2018-01-16,141.32000732421875,141.66000366210938,139.2100067138672,139.7899932861328,139.7899932861328,3150300,140.22000122070312,1.15116809723812,-0.49,-1.02,0.01,0.006,-0.420914
10,2018-01-17,140.8300018310547,140.92999267578125,139.0,140.7899932861328,140.7899932861328,1775400,140.23999532063803,0.712812233253235,0.95,-0.03,-0.1,0.006,-0.421254
11,2018-01-18,140.75,141.47999572753906,140.0,141.1300048828125,141.1300048828125,1292800,140.87000020345053,0.24121152365603749,-0.18,-0.5,-0.25,0.006,-0.41959
12,2018-01-19,141.22999572753906,142.52000427246094,141.02000427246094,142.27000427246094,142.27000427246094,1605200,141.9366709391276,0.8045204669835826,0.57,0.94,-0.05,0.006,-0.41592
13,2018-01-22,142.3300018310547,144.0800018310547,141.75999450683594,143.89999389648438,143.89999389648438,1379500,143.24666341145834,1.139188078461295,0.77,-0.34,-0.16,0.006,-0.393173
14,2018-01-23,144.58999633789062,144.99000549316406,143.55999755859375,144.42999267578125,144.42999267578125,1374400,144.32666524251303,0.3676338923532363,0.22,0.14,-0.36,0.006,-0.382074
15,2018-01-24,144.4199981689453,146.6699981689453,144.3699951171875,145.44000244140625,145.44000244140625,1432500,145.4933319091797,0.696873681364174,-0.13,-0.84,0.44,0.006,-0.369261
16,2018-01-25,146.88999938964844,146.89999389648438,145.4199981689453,145.5399932861328,145.5399932861328,1220700,145.95332845052084,0.06872695726887201,0.07,0.14,-0.54,0.006,-0.354732
17,2018-01-26,147.16000366210938,149.82000732421875,146.3800048828125,149.74000549316406,149.74000549316406,1474600,148.64667256673178,2.8449576699014933,1.11,-0.6,-0.51,0.006,-0.338481
18,2018-01-29,149.58999633789062,150.85000610351562,146.8300018310547,147.08999633789062,147.08999633789062,2414800,148.2566680908203,-1.785587405303346,-0.62,-0.04,-0.28,0.006,-0.279604
19,2018-01-30,146.07000732421875,147.44000244140625,145.6300048828125,146.58999633789062,146.58999633789062,2369500,146.55333455403647,-0.34050701142325224,-1.06,0.14,-0.21,0.006,-0.256927
20,2018-01-31,148.67999267578125,150.10000610351562,147.75999450683594,148.8699951171875,148.8699951171875,2881300,148.90999857584634,1.5433859769841796,-0.07,-0.74,0.11,0.006,-0.232755
21,2018-02-01,151.75999450683594,156.5399932861328,151.3300018310547,152.80999755859375,152.80999755859375,4230800,153.55999755859375,2.612189455062719,0.03,0.08,0.53,0.006,-0.207082
22,2018-02-02,150.50999450683594,151.94000244140625,147.3300018310547,149.75999450683594,149.75999450683594,2826700,149.67666625976562,-2.0161327590922262,-2.13,0.04,-0.29,0.006,-0.182733
